Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Normalized_Name,Sales_Anomaly
80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,halo 2,High Sales Outlier
81,Mario Party 8,WII,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,mario party 8,High Sales Outlier
82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,pokemon black 2pokemon white 2,High Sales Outlier
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,fifa soccer 13,High Sales Outlier
84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,the sims 3,High Sales Outlier
85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,goldeneye 007,High Sales Outlier
86,Mario & Sonic at the Olympic Games,WII,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,mario sonic at the olympic games,High Sales Outlier
87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,final fantasy x,High Sales Outlier
88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,final fantasy viii,High Sales Outlier
89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,pokmon platinum version,High Sales Outlier
90,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,pacman,High Sales Outlier
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,grand theft auto liberty city stories,High Sales Outlier
92,Super Mario Galaxy 2,WII,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,super mario galaxy 2,High Sales Outlier
93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,star wars battlefront 2015,High Sales Outlier
94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,call of duty advanced warfare,High Sales Outlier
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,the legend of zelda ocarina of time,High Sales Outlier
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,crash bandicoot 2 cortex strikes back,High Sales Outlier
97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,super mario bros 2,High Sales Outlier
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,super smash bros for wii u and 3ds,High Sales Outlier
99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,call of duty world at war,High Sales Outlier
100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,battlefield 3,High Sales Outlier
101,The Legend of Zelda: Twilight Princess,WII,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,the legend of zelda twilight princess,High Sales Outlier
102,Call of Duty: Black Ops 3,XONE,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,call of duty black ops 3,High Sales Outlier
103,Just Dance,WII,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,just dance,High Sales Outlier
104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,battlefield 3,High Sales Outlier
105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,need for speed underground,High Sales Outlier
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,tekken 3,High Sales Outlier
107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,crash bandicoot 3 warped,High Sales Outlier
108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,super smash bros melee,High Sales Outlier
109,Mario Kart 8,WIIU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,mario kart 8,High Sales Outlier
110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,fallout 4,High Sales Outlier
111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,mario kart double dash,High Sales Outlier
112,Just Dance 4,WII,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,just dance 4,High Sales Outlier
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,fifa 14,High Sales Outlier
114,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,need for speed underground 2,High Sales Outlier
115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,medal of honor frontline,High Sales Outlier
116,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,uncharted 3 drakes deception,High Sales Outlier
117,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,crash bandicoot,High Sales Outlier
118,Zumba Fitness,WII,2010.0,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,zumba fitness,High Sales Outlier
119,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,gears of war 2,High Sales Outlier
120,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,uncharted 2 among thieves,High Sales Outlier
121,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,call of duty 4 modern warfare,High Sales Outlier
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,fifa 12,High Sales Outlier
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,big brain academy,High Sales Outlier
124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,red dead redemption,High Sales Outlier
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,fifa 15,High Sales Outlier
126,Donkey Kong Country Returns,WII,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,donkey kong country returns,High Sales Outlier
127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,the elder scrolls v skyrim,High Sales Outlier
128,The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,the legend of zelda,High Sales Outlier
129,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,assassins creed iii,High Sales Outlier
130,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,halo combat evolved,High Sales Outlier
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,pokmon emerald version,High Sales Outlier
132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,kingdom hearts,High Sales Outlier
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,pokmon crystal version,High Sales Outlier
134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,halo 3 odst,High Sales Outlier
135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,red dead redemption,High Sales Outlier
136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,super mario sunshine,High Sales Outlier
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,street fighter ii the world warrior,High Sales Outlier
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,world of warcraft,High Sales Outlier
139,Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,driver,High Sales Outlier
140,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,kinect sports,High Sales Outlier
141,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,gears of war 3,High Sales Outlier
142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,gears of war,High Sales Outlier
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,metal gear solid 2 sons of liberty,High Sales Outlier
144,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03,sonic the hedgehog 2,High Sales Outlier
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,metal gear solid 4 guns of the patriots,High Sales Outlier
146,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,metal gear solid,High Sales Outlier
147,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,the last of us,High Sales Outlier
148,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,final fantasy xii,High Sales Outlier
149,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,littlebigplanet,High Sales Outlier
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,dragon quest ix sentinels of the starry skies,High Sales Outlier
151,LEGO Star Wars: The Complete Saga,WII,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,lego star wars the complete saga,High Sales Outlier
152,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,resident evil 2,High Sales Outlier
153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,tekken 2,High Sales Outlier
154,Cooking Mama,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,cooking mama,High Sales Outlier
155,Destiny,PS4,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,destiny,High Sales Outlier
156,Tetris,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,tetris,High Sales Outlier
157,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,assassins creed ii,High Sales Outlier
158,Super Smash Bros.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,super smash bros,High Sales Outlier
159,Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,assassins creed,High Sales Outlier
160,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,batman arkham city,High Sales Outlier
161,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,forza motorsport 3,High Sales Outlier
162,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,monster hunter freedom unite,High Sales Outlier
163,Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,super mario advance,High Sales Outlier
164,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,mario kart super circuit,High Sales Outlier
165,Super Mario World,GBA,2001.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,super mario world,High Sales Outlier
166,Pokemon Stadium,N64,1999.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,pokemon stadium,High Sales Outlier
167,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,call of duty world at war,High Sales Outlier
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,crash bandicoot the wrath of cortex,High Sales Outlier
169,Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,minecraft,High Sales Outlier
170,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,final fantasy xiii,High Sales Outlier
171,Dr. Mario,GB,1989.0,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,dr mario,High Sales Outlier
172,Pokemon Pinball,GB,1999.0,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,pokemon pinball,High Sales Outlier
173,Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,assassins creed iii,High Sales Outlier
174,Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,final fantasy ix,High Sales Outlier
175,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,final fantasy x2,High Sales Outlier
176,Donkey Kong 64,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,donkey kong 64,High Sales Outlier
177,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,assassins creed ii,High Sales Outlier
178,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,professor layton and the curious village,High Sales Outlier
179,Tomb Raider II,PS,1997.0,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,tomb raider ii,High Sales Outlier
180,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,madden nfl 2004,High Sales Outlier
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,dragon quest viii journey of the cursed king,High Sales Outlier
182,Diablo III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,diablo iii,High Sales Outlier
183,Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,super mario bros 3,High Sales Outlier
184,New Super Mario Bros. U,WIIU,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,new super mario bros u,High Sales Outlier
185,Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,super mario land 3 wario land,High Sales Outlier
186,FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,fifa soccer 13,High Sales Outlier
187,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,the legend of zelda phantom hourglass,High Sales Outlier
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,donkey kong country 2 diddys kong quest,High Sales Outlier
189,Tomodachi Life,3DS,2013.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,tomodachi life,High Sales Outlier
190,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14,mario sonic at the olympic games,High Sales Outlier
191,Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,medal of honor rising sun,High Sales Outlier
