Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Normalized_Name,Regional_Total,NA_Share,EU_Share,JP_Share,Other_Share,Dominant_Region,Dominant_Region_Share,Regional_Anomaly
14,Wii Fit,WII,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,wii fit,22.72,0.39348591549295775,0.3534330985915493,0.15845070422535212,0.09463028169014084,North America,0.39348591549295775,Normal
15,Wii Fit Plus,WII,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,wii fit plus,22.0,0.41318181818181815,0.39045454545454544,0.11499999999999999,0.08136363636363636,North America,0.41318181818181815,Normal
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,kinect adventures,21.82,0.6860678276810266,0.22639780018331807,0.010999083409715857,0.0765352887259395,North America,0.6860678276810266,Normal
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,grand theft auto v,21.39,0.3277232351566152,0.4333800841514726,0.04534829359513791,0.19354838709677416,Europe,0.4333800841514726,Normal
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,grand theft auto san andreas,20.810000000000002,0.4531475252282556,0.01922152811148486,0.01970206631427198,0.5079288803459875,Other,0.5079288803459875,Normal
19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,super mario world,20.62,0.6197866149369543,0.18186226964112512,0.1716779825412221,0.026673132880698353,North America,0.6197866149369543,Normal
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,brain age train your brain in minutes a day,20.220000000000002,0.23491592482690402,0.45796241345202765,0.20573689416419386,0.10138476755687437,Europe,0.45796241345202765,Normal
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,pokemon diamondpokemon pearl,18.35,0.3498637602179836,0.24632152588555853,0.3291553133514986,0.07465940054495913,North America,0.3498637602179836,Normal
22,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,super mario land,18.14,0.5970231532524807,0.149393605292172,0.23042998897464165,0.02315325248070562,North America,0.5970231532524807,Normal
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,super mario bros 3,17.28,0.5520833333333333,0.19907407407407407,0.2222222222222222,0.02662037037037037,North America,0.5520833333333333,Normal
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,grand theft auto v,16.380000000000003,0.5879120879120878,0.3241758241758241,0.003663003663003662,0.08424908424908423,North America,0.5879120879120878,Normal
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,grand theft auto vice city,16.150000000000002,0.5207430340557275,0.339938080495356,0.029102167182662533,0.11021671826625386,North America,0.5207430340557275,Normal
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,pokemon rubypokemon sapphire,15.84,0.38257575757575757,0.24621212121212122,0.33964646464646464,0.03156565656565657,North America,0.38257575757575757,Normal
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,pokemon blackpokemon white,15.32,0.36357702349869453,0.21409921671018275,0.36879895561357706,0.05352480417754569,Japan,0.36879895561357706,Normal
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,brain age 2 more training in minutes a day,15.3,0.22483660130718952,0.35032679738562095,0.3477124183006536,0.07712418300653594,Europe,0.35032679738562095,Normal
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,gran turismo 3 aspec,14.969999999999999,0.4575818303273213,0.34001336005344024,0.12491649966599869,0.07748830995323981,North America,0.4575818303273213,Normal
30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,call of duty modern warfare 3,14.76,0.6117886178861788,0.2899728997289973,0.00880758807588076,0.08943089430894309,North America,0.6117886178861788,Normal
31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,pokmon yellow special pikachu edition,14.64,0.4023224043715847,0.3442622950819672,0.21311475409836064,0.04030054644808743,North America,0.4023224043715847,Normal
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,call of duty black ops,14.64,0.66051912568306,0.2547814207650273,0.007513661202185792,0.07718579234972676,North America,0.66051912568306,Normal
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,pokemon xpokemon y,14.349999999999998,0.36027874564459933,0.28222996515679444,0.30243902439024395,0.05505226480836238,North America,0.36027874564459933,Normal
34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,call of duty black ops 3,14.239999999999998,0.40519662921348315,0.4080056179775281,0.02457865168539326,0.16221910112359553,Europe,0.4080056179775281,Normal
35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,call of duty black ops ii,14.040000000000001,0.3554131054131054,0.41880341880341876,0.046296296296296294,0.1794871794871795,Europe,0.41880341880341876,Normal
36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,call of duty black ops ii,13.740000000000002,0.6004366812227073,0.3129548762736535,0.005094614264919942,0.08151382823871907,North America,0.6004366812227073,Normal
37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,call of duty modern warfare 2,13.52,0.6301775147928994,0.26849112426035504,0.00591715976331361,0.09541420118343195,North America,0.6301775147928994,Normal
38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,call of duty modern warfare 3,13.469999999999999,0.41128433556050487,0.4320712694877506,0.03637713437268003,0.1202672605790646,Europe,0.4320712694877506,Normal
39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,grand theft auto iii,13.100000000000001,0.533587786259542,0.3442748091603053,0.022900763358778622,0.09923664122137404,North America,0.533587786259542,Normal
40,Super Smash Bros. Brawl,WII,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,super smash bros brawl,13.04,0.517638036809816,0.20015337423312884,0.2039877300613497,0.07822085889570553,North America,0.517638036809816,Normal
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,call of duty black ops,12.730000000000002,0.4697564807541241,0.34878240377062053,0.03770620581304005,0.1437549096622152,North America,0.4697564807541241,Normal
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,animal crossing wild world,12.280000000000001,0.20765472312703578,0.2866449511400651,0.4340390879478827,0.07166123778501628,Japan,0.4340390879478827,Normal
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,mario kart 7,12.21,0.3882063882063882,0.3202293202293202,0.21867321867321865,0.07289107289107288,North America,0.3882063882063882,Normal
44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,halo 3,12.14,0.6565074135090609,0.2331136738056013,0.010708401976935749,0.09967051070840197,North America,0.6565074135090609,Normal
45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,grand theft auto v,11.989999999999998,0.316930775646372,0.4845704753961635,0.030025020850708926,0.16847372810675565,Europe,0.4845704753961635,Normal
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,pokemon heartgoldpokemon soulsilver,11.899999999999999,0.36974789915966394,0.2327731092436975,0.3327731092436975,0.06470588235294118,North America,0.36974789915966394,Normal
47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,super mario 64,11.9,0.5806722689075631,0.23949579831932774,0.16050420168067225,0.019327731092436976,North America,0.5806722689075631,Normal
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,gran turismo 4,11.649999999999999,0.25836909871244634,0.0008583690987124465,0.09442060085836912,0.6463519313304722,Other,0.6463519313304722,Normal
49,Super Mario Galaxy,WII,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,super mario galaxy,11.52,0.5347222222222222,0.2951388888888889,0.10416666666666667,0.06597222222222222,North America,0.5347222222222222,Normal
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,pokemon omega rubypokemon alpha sapphire,11.33,0.37334510150044137,0.2974404236540159,0.27184466019417475,0.05736981465136805,North America,0.37334510150044137,Normal
51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,super mario land 2 6 golden coins,11.179999999999998,0.5509838998211093,0.1824686940966011,0.24060822898032205,0.025939177101967803,North America,0.5509838998211093,Normal
52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,grand theft auto iv,11.03,0.6128739800543971,0.28105167724388036,0.012692656391659113,0.09338168631006347,North America,0.6128739800543971,Normal
53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,gran turismo,10.95,0.36712328767123287,0.3534246575342466,0.2319634703196347,0.047488584474885846,North America,0.36712328767123287,Normal
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,super mario 3d land,10.79,0.4531974050046339,0.2771084337349398,0.1974050046339203,0.07228915662650603,North America,0.4531974050046339,Normal
55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,gran turismo 5,10.77,0.27483751160631387,0.4531104921077066,0.07520891364902507,0.19684308263695452,Europe,0.4531104921077066,Normal
56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,call of duty modern warfare 2,10.690000000000001,0.4667913938260056,0.3451824134705332,0.03554724041159962,0.15247895229186154,North America,0.4667913938260056,Normal
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,grand theft auto iv,10.579999999999998,0.449905482041588,0.35538752362948967,0.04158790170132326,0.1531190926275993,North America,0.449905482041588,Normal
58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,super mario allstars,10.55,0.5677725118483412,0.20379146919431276,0.2009478672985782,0.02748815165876777,North America,0.5677725118483412,Normal
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,pokemon fireredpokemon leafgreen,10.49,0.41372735938989513,0.2526215443279313,0.3002859866539561,0.03336510962821735,North America,0.41372735938989513,Normal
60,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,super mario 64,10.42,0.4875239923224568,0.29846449136276393,0.1199616122840691,0.09404990403071017,North America,0.4875239923224568,Normal
61,Just Dance 3,WII,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,just dance 3,10.27,0.5890944498539435,0.3067185978578384,0.0,0.10418695228821812,North America,0.5890944498539435,Normal
62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,call of duty ghosts,10.209999999999999,0.6581782566111656,0.257590597453477,0.0039177277179236044,0.08031341821743389,North America,0.6581782566111656,Normal
63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,halo reach,9.87,0.71225937183384,0.20060790273556234,0.008105369807497468,0.07902735562310031,North America,0.71225937183384,Normal
64,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,mario kart 64,9.870000000000001,0.5623100303951367,0.19655521783181354,0.22593718338399188,0.01519756838905775,North America,0.5623100303951367,Normal
65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,new super mario bros 2,9.830000000000002,0.37232960325534076,0.3123092573753814,0.25127161749745675,0.06408952187182095,North America,0.37232960325534076,Normal
66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,halo 4,9.76,0.6793032786885246,0.24180327868852458,0.004098360655737705,0.07479508196721311,North America,0.6793032786885246,Normal
67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,final fantasy vii,9.719999999999999,0.3096707818930041,0.2541152263374486,0.3374485596707819,0.09876543209876544,Japan,0.3374485596707819,Normal
68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,call of duty ghosts,9.580000000000002,0.4269311064718162,0.38935281837160746,0.039665970772442584,0.14405010438413357,North America,0.4269311064718162,Normal
69,Just Dance 2,WII,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,just dance 2,9.52,0.6134453781512605,0.3035714285714286,0.001050420168067227,0.0819327731092437,North America,0.6134453781512605,Normal
70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,gran turismo 2,9.49,0.4088514225500527,0.36037934668071653,0.1780821917808219,0.05268703898840885,North America,0.4088514225500527,Normal
71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,call of duty 4 modern warfare,9.32,0.6341201716738197,0.2553648068669528,0.013948497854077254,0.09656652360515021,North America,0.6341201716738197,Normal
72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,donkey kong country,9.3,0.46881720430107526,0.18387096774193545,0.3225806451612903,0.024731182795698924,North America,0.46881720430107526,Normal
73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,minecraft,9.2,0.6065217391304348,0.30760869565217397,0.002173913043478261,0.08369565217391305,North America,0.6065217391304348,Normal
74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,animal crossing new leaf,9.100000000000001,0.22087912087912082,0.25494505494505487,0.4791208791208791,0.04505494505494505,Japan,0.4791208791208791,Normal
75,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,mario party ds,9.02,0.4944567627494457,0.20842572062084258,0.21951219512195122,0.07760532150776053,North America,0.4944567627494457,Normal
76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,the elder scrolls v skyrim,8.84,0.5690045248868779,0.3235294117647059,0.011312217194570137,0.09615384615384616,North America,0.5690045248868779,Normal
77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,super mario kart,8.77,0.4036488027366021,0.14139110604332955,0.4344355758266819,0.020524515393386546,Japan,0.4344355758266819,Normal
78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,fifa 16,8.49,0.13074204946996468,0.7137809187279152,0.007067137809187279,0.14840989399293286,Europe,0.7137809187279152,Normal
79,Wii Party,WII,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,wii party,8.49,0.21083627797408716,0.4157832744405182,0.2932862190812721,0.0800942285041225,Europe,0.4157832744405182,Normal
80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,halo 2,8.48,0.8042452830188679,0.1804245283018868,0.00589622641509434,0.009433962264150943,North America,0.8042452830188679,Regionally Concentrated
81,Mario Party 8,WII,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,mario party 8,8.42,0.4524940617577197,0.2731591448931116,0.18764845605700714,0.08669833729216152,North America,0.4524940617577197,Normal
82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,pokemon black 2pokemon white 2,8.34,0.3489208633093525,0.22302158273381298,0.37649880095923266,0.05155875299760192,Japan,0.37649880095923266,Normal
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,fifa soccer 13,8.25,0.12848484848484848,0.6121212121212121,0.01575757575757576,0.24363636363636362,Europe,0.6121212121212121,Normal
84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,the sims 3,8.11,0.12083847102342787,0.7916152897657214,0.0,0.08754623921085081,Europe,0.7916152897657214,Regionally Concentrated
85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,goldeneye 007,8.09,0.7169344870210136,0.24845488257107537,0.016069221260815822,0.018541409147095178,North America,0.7169344870210136,Normal
86,Mario & Sonic at the Olympic Games,WII,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,mario sonic at the olympic games,8.05,0.3204968944099379,0.48447204968944096,0.08198757763975155,0.11304347826086956,Europe,0.48447204968944096,Normal
87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,final fantasy x,8.040000000000001,0.3619402985074627,0.25746268656716415,0.33955223880597013,0.041044776119402986,North America,0.3619402985074627,Normal
88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,final fantasy viii,7.86,0.2900763358778626,0.2188295165394402,0.4618320610687023,0.029262086513994912,Japan,0.4618320610687023,Normal
89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,pokmon platinum version,7.839999999999999,0.35969387755102045,0.22704081632653064,0.3431122448979592,0.0701530612244898,North America,0.35969387755102045,Normal
90,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,pacman,7.8100000000000005,0.9321382842509602,0.057618437900128036,0.0,0.010243277848911651,North America,0.9321382842509602,Regionally Concentrated
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,grand theft auto liberty city stories,7.720000000000001,0.37564766839378233,0.366580310880829,0.0310880829015544,0.22668393782383417,North America,0.37564766839378233,Normal
92,Super Mario Galaxy 2,WII,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,super mario galaxy 2,7.7,0.4753246753246753,0.3142857142857143,0.12727272727272726,0.08311688311688312,North America,0.4753246753246753,Normal
93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,star wars battlefront 2015,7.67,0.3820078226857888,0.4289439374185137,0.02868318122555411,0.16036505867014342,Europe,0.4289439374185137,Normal
94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,call of duty advanced warfare,7.609999999999999,0.3679369250985545,0.43363994743758216,0.01839684625492773,0.18002628120893563,Europe,0.43363994743758216,Normal
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,the legend of zelda ocarina of time,7.6,0.5394736842105263,0.24868421052631579,0.19078947368421054,0.02105263157894737,North America,0.5394736842105263,Normal
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,crash bandicoot 2 cortex strikes back,7.569999999999999,0.4993394980184941,0.28665785997357995,0.1730515191545575,0.04095112285336856,North America,0.4993394980184941,Normal
97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,super mario bros 2,7.46,0.7225201072386058,0.1581769436997319,0.0938337801608579,0.02546916890080429,North America,0.7225201072386058,Normal
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,super smash bros for wii u and 3ds,7.4399999999999995,0.435483870967742,0.18145161290322584,0.32526881720430106,0.05779569892473119,North America,0.435483870967742,Normal
99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,call of duty world at war,7.379999999999999,0.6490514905149053,0.25745257452574527,0.0,0.0934959349593496,North America,0.6490514905149053,Normal
100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,battlefield 3,7.34,0.6076294277929155,0.2901907356948229,0.008174386920980926,0.09400544959128065,North America,0.6076294277929155,Normal
101,The Legend of Zelda: Twilight Princess,WII,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,the legend of zelda twilight princess,7.319999999999999,0.5232240437158471,0.29918032786885246,0.0819672131147541,0.09562841530054644,North America,0.5232240437158471,Normal
102,Call of Duty: Black Ops 3,XONE,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,call of duty black ops 3,7.289999999999999,0.6200274348422496,0.28669410150891633,0.0013717421124828533,0.09190672153635118,North America,0.6200274348422496,Normal
103,Just Dance,WII,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,just dance,7.27,0.4828060522696011,0.4167812929848693,0.0,0.10041265474552957,North America,0.4828060522696011,Normal
104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,battlefield 3,7.23,0.3941908713692946,0.40525587828492393,0.04840940525587828,0.1521438450899032,Europe,0.40525587828492393,Normal
105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,need for speed underground,7.199999999999999,0.4541666666666667,0.3930555555555556,0.011111111111111113,0.1416666666666667,North America,0.4541666666666667,Normal
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,tekken 3,7.180000000000001,0.45543175487465176,0.30919220055710306,0.1949860724233983,0.04038997214484679,North America,0.45543175487465176,Normal
107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,crash bandicoot 3 warped,7.13,0.5161290322580645,0.24544179523141654,0.19915848527349228,0.039270687237026654,North America,0.5161290322580645,Normal
108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,super smash bros melee,7.06,0.6246458923512749,0.1473087818696884,0.19688385269121814,0.0311614730878187,North America,0.6246458923512749,Normal
109,Mario Kart 8,WIIU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,mario kart 8,6.959999999999999,0.44971264367816094,0.2974137931034483,0.1824712643678161,0.07040229885057472,North America,0.44971264367816094,Normal
110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,fallout 4,6.960000000000001,0.35488505747126436,0.45258620689655166,0.03448275862068965,0.15804597701149425,Europe,0.45258620689655166,Normal
111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,mario kart double dash,6.950000000000001,0.5928057553956834,0.2546762589928057,0.1251798561151079,0.027338129496402873,North America,0.5928057553956834,Normal
112,Just Dance 4,WII,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,just dance 4,6.91,0.5991316931982633,0.31982633863965265,0.0,0.08104196816208394,North America,0.5991316931982633,Normal
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,fifa 14,6.9,0.11304347826086956,0.6260869565217392,0.010144927536231885,0.2507246376811594,Europe,0.6260869565217392,Normal
